name,debt
"ПАТ ""УКРНАФТА""",12485526
"АТ ""ДЕЛЬТА БАНК""",1869453
"Договір про спільну діяльність від 24.12.1997 № № 999/97 - уповноважена особа НАФТОГАЗОВИДОБУВНЕ УПРАВЛІННЯ""ПОЛТАВАНАФТОГАЗ""ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА ""УКРНАФТА 22525915",1851598
"Договір про спільну діяльність від 19.11.2007 № 265-12 - уповноважена особа ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""НАДРА ГЕОЦЕНТР"" 34763705",1578040
"ПАТ""КБ ""ПІВДЕНКОМБАНК""",857318
"ДП ""МАКІЇВВУГІЛЛЯ""",792224
"ДП ""СЕЛИДІВВУГІЛЛЯ""",753111
"ТОВ ""АВТОСЕРВІС-Т""",594738
"ПАТ ""ОГХК""",587513
"ТОВ ""МТК""",546017
АГРАРНИЙ ФОНД,487403
"ЗАТ ""ЗКТ""",460369
"АТ ""БАНК ""ФІНАНСИ ТА КРЕДИТ""",435471
"ДП ""УКРЗАЛІЗНИЧПОСТАЧ""",406152
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""НК АЛЬФА-НАФТА""",385444
"ПАТ ""ТЕРРА БАНК""",369321
"АТ ""ЗЛАТОБАНК""",324981
"ДП ""ЛЬВІВВУГІЛЛЯ""",324526
"ДП ""СХІДГЗК""",316868
"ДП ""АНТРАЦИТ""",314650
"ТОВ ""СОФТ-СИСТЕМС""",312700
"Договір про спільну діяльність від 04.02.2004 № 60 - уповноважена особа ТОВ ФІРМА ""ХАС"" 21237338",306908
"ДП ""КРАСНОАРМІЙСЬКВУГІЛЛЯ""",303278
"ДП ""ШАХТАРСЬКАНТРАЦИТ""",299211
"ПАТ ""БГ БАНК""",297414
"Договір про спільну діяльність від 15.09.2004 № 927 - уповноважена особа ТОВ ""ЦЕФЕЙ"" 32869749",291017
"ПАТ ""ЦЕНТРЕНЕРГО""",287442
"ПАТ ""ШАХТОУПРАВЛІННЯ ""ДОНБАС""",285660
ВОЛЧКОВ ВАЛЕРІЙ МИКОЛАЙОВИЧ,280832
"ДП ""ДОНБАСАНТРАЦИТ""",275990
"ПАТ ""ЛИСИЧАНСЬКВУГІЛЛЯ""",263065
"ДП ""ДОНЕЦЬКА ВУГІЛЬНА ЕНЕРГЕТИЧНА КОМПАНІЯ """,261504
"ПАТ ""НАФТОХІМІК ПРИКАРПАТТЯ""",256316
"ПАТ ""БАНК КАМБІО""",247325
"ПАТ ""ВЕСТА-ДНІПРО""",237120
"ДП ""РЕГІОНАЛЬНІ ЕЛЕКТРИЧНІ МЕРЕЖІ""",213165
"ДП ""ТОРЕЗАНТРАЦИТ""",209334
"ПРАТ ""КРЕАТИВ""",209025
"ПП ""ЕЛЛАДА""",208427
"ТОВ ФК ""ДНІПРО""",207149
"ТОВ ""СХІДНА ВУГІЛЬНО-ЕНЕРГЕТИЧНА КОМПАНІЯ""",206905
"ФІРМА ""СОЮЗ-ВІКТАН"" ЛТД (ТОВ)",204701
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ВИРОБНИЧО-КОМЕРЦІЙНЕ ТОВАРИСТВО ""АРГО""",204595
"ДП ""ПЕРВОМАЙСЬКВУГІЛЛЯ""",198306
"ТОВ ""АСТІКА""",197686
"ПФ ""ОРНАТУС'",192467
"ДП ""ВУГІЛЛЯ УКРАЇНИ""",191793
"ТОВ ""ЄВРОЛОТ""",185227
"ПАТ ""МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК""",180350
"ВАТ ""ОРІАНА""",179337
"ПРАТ ""КРАСНОДОНВУГІЛЛЯ""",177676
"ДП ""ШАХТОУПРАВЛІННЯ "" ПІВДЕННОДОНБАСЬКЕ №1""",177568
"ДП ""ЛУГАНСЬКВУГІЛЛЯ""",176561
"ТОВ ""ТЕК""ГЕРМЕС""",173367
"ПАТ ""ШАХТА ""НАДІЯ""",170827
"ПАТ ""АКБ ""КИЇВ""",163668
"Договір про спільну діяльність від 13.10.2004 № 1747 - уповноважена особа ТОВ ""КАРПАТНАДРАІНВЕСТ"" 31789453",162192
"ПАТ ""ШАХТА ІМ. О.Ф. ЗАСЯДЬКА""",157955
"ТОВ ""УКРПРОФМЕД""",156187
СП ПГНК,153345
"ПАТ ""МОСТОБУД""",151935
