name,debt
ОФIС ВЕЛИКИХ ПЛАТНИКIВ ДФС,20348304
ДПI У ШЕВЧЕНКIВСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,3124543
ДПI У ПЕЧЕРСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,3046164
ДПI У М. ПОЛТАВI ГУ ДФС У ПОЛТАВСЬКIЙ ОБЛАСТI,2299281
МИРОНIВСЬКЕ ВIДДIЛЕННЯ БIЛОЦЕРКIВСЬКОЇ ОДПI,1928635
ДНIПРОПЕТРОВСЬКE УПРАВЛIННЯ ОФIСУ ВПП ДФС,1715415
ДПI У СОЛОМ'ЯНСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,1604523
ДПI У СВЯТОШИНСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,1250987
ДПI У ГОЛОСIЇВСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,1235858
ДПI У ДАРНИЦЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,1140059
ХАРКIВСЬКЕ УПРАВЛIННЯ ОФIСУ ВПП ДФС,1091287
ЛЬВIВСЬКЕ УПРАВЛIННЯ ОФIСУ ВПП ДФС,883927
КИЇВСЬКА ОДПI М.ХАРКОВА ГУ ДФС У Х/О(МОСКОВСЬКИЙ),827133
ДПI В ОБОЛОНСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,801633
ДПI У ПОДIЛЬСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,790227
ГАЛИЦЬКА ОДПI (СИХIВСЬКЕ ВIДДIЛЕННЯ),785344
ЗАПОРIЗЬКЕ УПРАВЛIННЯ ОФIСУ ВПП ДФС,719790
ДПI У ДНIПРОВСЬКОМУ РАЙОНI ГУ ДФС У М.КИЄВI,673350
ХАРКIВСЬКА ОДПI ГУ ДФС У ХАРКIВСЬКIЙ ОБЛАСТI,673148
МАР'ЇНСЬКА ОДПI ГУ ДФС У ДОН.ОБЛ.(ВУГЛЕДАРСЬКЕ ВIД-НЯ),575834
ДПI У СОБОРНОМУ Р-НI М.ДНIПРА,555304
